Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.040320413	6.20221E-05	-0.002982534	0.0008556
0.040384721	6.21162E-05	-0.001189794	0.000855103
0.040449027	6.22103E-05	-0.001249349	0.000856019
0.040513335	6.23044E-05	-0.002163041	0.000855047
0.04057764	6.23985E-05	-0.001885246	0.000855517
0.040641949	6.24926E-05	-0.001061663	0.000855071
0.040706254	6.25867E-05	-0.003244511	0.000854683
0.040770562	6.26808E-05	-0.002110214	0.000855559
0.040834867	6.2775E-05	-0.001272562	0.000854666
0.040899176	6.28691E-05	-0.002465688	0.000854759
0.040963481	6.29632E-05	-0.003101511	0.000854205
0.041027789	6.30574E-05	-0.001447387	0.000854347
0.041092095	6.31516E-05	-0.003550577	0.00085429
0.041156403	6.32457E-05	-0.001854436	0.000854675
0.041220708	6.33399E-05	-0.002614721	0.000854259
0.041285017	6.34341E-05	-0.002402889	0.000853898
0.041349322	6.35283E-05	-0.002606402	0.000853654
0.04141363	6.36225E-05	-0.00286457	0.000854482
0.041477936	6.37167E-05	-0.002581199	0.000853474
0.041542244	6.38109E-05	-0.002738474	0.000853579
0.041606549	6.39051E-05	-0.002291857	0.000853442
0.041670858	6.39993E-05	-0.000552764	0.000853308
0.041735163	6.40935E-05	-0.001544974	0.000853539
0.041799471	6.41878E-05	-0.000458476	0.000853245
0.04186378	6.4282E-05	-0.001467972	0.000853052
0.041928085	6.43763E-05	-0.002512038	0.00085359
0.041992393	6.44705E-05	-0.002916559	0.000853155
0.042056699	6.45648E-05	-0.001568833	0.000852956
0.042121007	6.4659E-05	-0.003768751	0.000852804
0.042185312	6.47533E-05	-0.00238001	0.000852849
0.04224962	6.48476E-05	-0.002486856	0.00085341
0.042313926	6.49419E-05	-0.001158138	0.000852735
0.042378234	6.50362E-05	-0.001892312	0.00085214
0.042442539	6.51305E-05	-0.002629403	0.000852255
0.042506848	6.52248E-05	-0.003054689	0.000852922
0.042571153	6.53191E-05	-0.003914593	0.000852359
0.042635461	6.54134E-05	-0.003481789	0.00085272
0.042699767	6.55077E-05	-0.00229033	0.000851865
0.042764075	6.56021E-05	-0.002863569	0.00085122
0.04282838	6.56964E-05	-0.003196839	0.000852582
0.042892689	6.57908E-05	-0.001421491	0.000851824
0.042956994	6.58851E-05	-0.002206346	0.000852351
0.043021302	6.59795E-05	-0.004892305	0.000851175
0.043085608	6.60738E-05	-0.003033194	0.000851821
0.043149916	6.61682E-05	-0.00320453	0.000851557
0.043214221	6.62626E-05	-0.002790443	0.000851441
0.04327853	6.63569E-05	-0.002633566	0.000851336
0.043342835	6.64513E-05	-0.002890781	0.000851346
0.043407143	6.65457E-05	-0.002738241	0.000851949
0.043471452	6.66401E-05	-0.001646456	0.000851053
0.043535757	6.67345E-05	-0.001004199	0.000851002
