Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.04088231	6.31428E-05	0.004049201	0.000857849
0.040947515	6.32406E-05	0.004017472	0.000857257
0.041012716	6.33383E-05	0.00440008	0.000857721
0.041077921	6.34361E-05	0.003352888	0.000857599
0.041143122	6.35339E-05	0.001295608	0.000857389
0.041208327	6.36316E-05	0.002951065	0.000857372
0.041273528	6.37294E-05	0.002153561	0.000857025
0.041338733	6.38272E-05	0.001328545	0.000856754
0.041403934	6.3925E-05	0.001369675	0.000856282
0.041469139	6.40228E-05	0.001835719	0.000856519
0.04153434	6.41206E-05	-0.00112059	0.000856374
0.041599544	6.42184E-05	0.000399897	0.000856333
0.041664746	6.43162E-05	-0.00088504	0.00085588
0.04172995	6.4414E-05	-0.000344609	0.000855678
0.041795152	6.45118E-05	-0.000135685	0.000855314
0.041860356	6.46096E-05	-0.002519626	0.000855503
0.041925558	6.47074E-05	-0.004775699	0.00085561
0.041990762	6.48053E-05	-0.003254952	0.000854957
0.042055964	6.49031E-05	-0.004191803	0.000854935
0.042121168	6.50009E-05	-0.003958454	0.000855106
0.04218637	6.50988E-05	-0.004604908	0.000854336
0.042251574	6.51966E-05	-0.004772959	0.000854176
0.042316776	6.52944E-05	-0.00328619	0.000854261
0.04238198	6.53923E-05	-0.003435446	0.000854529
0.042447185	6.54902E-05	-0.008415938	0.000854029
0.042512386	6.5588E-05	-0.006548613	0.00085407
0.042577591	6.56859E-05	-0.004347448	0.000854325
0.042642792	6.57837E-05	-0.006823925	0.000854422
0.042707997	6.58816E-05	-0.005551556	0.000854048
0.042773198	6.59795E-05	-0.005949647	0.000854539
0.042838403	6.60774E-05	-0.004739325	0.000854208
0.042903604	6.61752E-05	-0.004052457	0.00085297
0.042968809	6.62731E-05	-0.004484241	0.000854144
0.04303401	6.6371E-05	-0.002345204	0.000853675
0.043099215	6.64689E-05	-0.001791432	0.000853793
0.043164416	6.65668E-05	-0.002646174	0.00085344
0.043229621	6.66647E-05	-0.002472812	0.000853707
0.043294822	6.67626E-05	-0.001468671	0.000853793
0.043360027	6.68605E-05	-0.000109503	0.000853859
0.043425228	6.69584E-05	-0.000822458	0.000853133
0.043490433	6.70564E-05	-0.001374872	0.000853729
0.043555634	6.71543E-05	-4.95154E-05	0.000853763
0.043620839	6.72522E-05	0.000742217	0.000853445
0.04368604	6.73501E-05	0.001216144	0.000853232
0.043751245	6.74481E-05	0.000263003	0.00085355
0.043816446	6.7546E-05	-0.0005546	0.000853336
0.04388165	6.7644E-05	0.002953834	0.000853706
0.043946852	6.77419E-05	0.002293038	0.000853438
0.044012056	6.78398E-05	0.001893608	0.000853213
0.044077261	6.79378E-05	0.002568556	0.00085314
0.044142462	6.80358E-05	0.001208107	0.000853072
0.044207667	6.81337E-05	0.001535353	0.000852519
0.044272868	6.82317E-05	0.001669647	0.000853255
0.044338073	6.83296E-05	0.001489097	0.000852881
0.044403274	6.84276E-05	0.001386255	0.000852126
0.044468479	6.85256E-05	0.001595022	0.000852424
0.04453368	6.86236E-05	0.000335149	0.000851741
0.044598885	6.87215E-05	0.001268515	0.000851711
0.044664086	6.88195E-05	-1.82881E-05	0.000851103
0.044729291	6.89175E-05	-0.000982269	0.000851813
0.044794492	6.90155E-05	-0.001293262	0.000851366
0.044859697	6.91135E-05	-0.000158609	0.000851527
0.044924898	6.92115E-05	-0.002339878	0.000851694
0.044990103	6.93095E-05	-0.002011567	0.000851143
0.045055304	6.94075E-05	-0.004346998	0.000850654
0.045120509	6.95055E-05	-0.003541967	0.000850707
0.04518571	6.96035E-05	-0.004409307	0.000850696
0.045250915	6.97015E-05	-0.003168037	0.000850453
0.045316116	6.97996E-05	-0.005601468	0.00085058
0.045381321	6.98976E-05	-0.005672805	0.00085041
0.045446522	6.99956E-05	-0.005200823	0.000850198
0.045511727	7.00936E-05	-0.006324888	0.000850146
0.045576928	7.01917E-05	-0.008673987	0.000849842
0.045642133	7.02897E-05	-0.004262825	0.000850378
0.045707337	7.03877E-05	-0.006776437	0.000850072
0.045772539	7.04858E-05	-0.007284539	0.000849386
0.045837743	7.05838E-05	-0.006984933	0.000849671
0.045902945	7.06819E-05	-0.005501546	0.000849913
0.045968149	7.07799E-05	-0.004787594	0.000849374
0.046033351	7.0878E-05	-0.006344663	0.00084967
0.046098555	7.0976E-05	-0.004839324	0.00084892
0.046163756	7.10741E-05	-0.002974013	0.000849776
0.046228961	7.11722E-05	-0.004233095	0.000849596
0.046294162	7.12702E-05	-0.004313889	0.000849215
0.046359367	7.13683E-05	-0.001796733	0.000848868
0.046424568	7.14664E-05	-0.002174815	0.000849016
0.046489773	7.15645E-05	-0.001541768	0.000849513
0.046554974	7.16625E-05	-0.004523657	0.000848814
0.046620179	7.17606E-05	-0.000298205	0.000849324
0.04668538	7.18587E-05	-0.000722926	0.000849176
0.046750585	7.19568E-05	-0.000705071	0.000849546
0.046815786	7.20549E-05	0.000463544	0.000849136
0.046880991	7.2153E-05	0.00088155	0.000849781
0.046946192	7.22511E-05	0.002451451	0.000849647
0.047011397	7.23492E-05	0.000938427	0.000849633
0.047076598	7.24473E-05	-2.61561E-05	0.000848322
0.047141803	7.25454E-05	0.001150864	0.00084938
0.047207004	7.26435E-05	0.001246798	0.00084937
0.047272209	7.27416E-05	0.002742904	0.000849067
0.047337413	7.28397E-05	0.00127684	0.000848694
0.047402615	7.29379E-05	0.0015292	0.000849233
0.047467819	7.3036E-05	0.002616567	0.000848497
0.047533021	7.31341E-05	0.001051418	0.000848683
0.047598225	7.32322E-05	0.00098392	0.00084862
0.047663427	7.33304E-05	0.001927851	0.000848854
0.047728631	7.34285E-05	0.001004459	0.000848388
0.047793833	7.35266E-05	-0.000403826	0.000847816
0.047859037	7.36248E-05	0.001410165	0.000847786
0.047924239	7.37229E-05	0.000234129	0.000847657
0.047989443	7.38211E-05	0.002688114	0.000847359
0.048054645	7.39192E-05	-0.000925269	0.000847083
0.048119849	7.40174E-05	-0.002052269	0.000846707
0.048185051	7.41155E-05	0.000172975	0.000847263
0.048250255	7.42137E-05	-0.000661871	0.000847339
0.048315457	7.43119E-05	-0.002653053	0.000846247
0.048380661	7.441E-05	-0.00260482	0.000846701
0.048445862	7.45082E-05	-0.003520473	0.000846509
0.048511067	7.46064E-05	-0.004344851	0.000847013
0.048576268	7.47045E-05	-0.004331789	0.000846355
0.048641473	7.48027E-05	-0.004329729	0.000846462
0.048706674	7.49009E-05	-0.003149432	0.000845826
0.048771879	7.49991E-05	-0.004415344	0.000846682
0.04883708	7.50972E-05	-0.004986633	0.000846312
0.048902285	7.51954E-05	-0.005506519	0.000845909
0.048967489	7.52936E-05	-0.005086	0.000846487
0.049032691	7.53918E-05	-0.004357738	0.000845671
0.049097895	7.549E-05	-0.006304251	0.000845694
0.049163097	7.55882E-05	-0.005594219	0.000846022
0.049228301	7.56864E-05	-0.004125934	0.00084573
0.049293503	7.57846E-05	-0.004425525	0.000846149
0.049358707	7.58828E-05	-0.004100644	0.000845713
0.049423909	7.5981E-05	-0.004268168	0.000845665
0.049489113	7.60792E-05	-0.002496426	0.000845763
0.049554315	7.61774E-05	-0.003030052	0.000846015
0.049619519	7.62757E-05	-0.002669061	0.000846096
0.049684721	7.63739E-05	-0.002130696	0.000846056
0.049749925	7.64721E-05	-0.000981845	0.000846308
0.049815127	7.65703E-05	-0.000843872	0.000846161
0.049880331	7.66685E-05	-2.43073E-06	0.000846405
0.049945533	7.67668E-05	-0.000325189	0.000846352
0.050010737	7.6865E-05	0.001953108	0.000846387
0.050075939	7.69632E-05	0.002579952	0.000846236
