Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.041472464	6.59085E-05	-0.004283622	0.000853494
0.04153861	6.60082E-05	-0.007068628	0.000853142
0.041604752	6.61079E-05	-0.007254897	0.000853374
0.041670898	6.62076E-05	-0.006784507	0.000852952
0.041737041	6.63073E-05	-0.005346045	0.000852584
0.041803187	6.64071E-05	-0.006732803	0.00085254
0.041869329	6.65068E-05	-0.005970796	0.000852193
0.041935475	6.66065E-05	-0.007108253	0.000852899
0.042001618	6.67063E-05	-0.003103061	0.000853084
0.042067763	6.6806E-05	-0.003496535	0.000852914
0.042133906	6.69058E-05	-0.006498725	0.000852815
0.042200052	6.70056E-05	-0.00520443	0.000852975
0.042266194	6.71053E-05	-0.005111449	0.000852859
0.04233234	6.72051E-05	-0.004573445	0.000852554
0.042398483	6.73049E-05	-0.004799507	0.000852543
0.042464629	6.74047E-05	-0.00311241	0.00085282
0.042530771	6.75045E-05	-0.002387246	0.000852337
0.042596917	6.76043E-05	-0.003667	0.00085265
0.04266306	6.77042E-05	-0.002274644	0.000851884
0.042729206	6.7804E-05	-0.002878571	0.000853043
0.042795348	6.79038E-05	0.000364757	0.000853316
0.042861494	6.80037E-05	-0.001944235	0.000852095
0.042927637	6.81035E-05	-0.002168651	0.000852137
0.042993782	6.82034E-05	-7.14264E-05	0.000852091
0.043059928	6.83033E-05	0.000659012	0.000852578
0.043126071	6.84032E-05	-0.002009139	0.000852085
0.043192217	6.8503E-05	-0.001676629	0.000852349
0.043258359	6.86029E-05	-0.000865062	0.000852457
0.043324505	6.87028E-05	0.001778636	0.000852266
0.043390648	6.88027E-05	-0.001154647	0.000852488
0.043456794	6.89027E-05	-3.99034E-05	0.00085207
0.043522936	6.90026E-05	-0.000335577	0.000851942
0.043589082	6.91025E-05	0.001840393	0.000851413
0.043655225	6.92024E-05	-0.002211636	0.000851842
0.04372137	6.93024E-05	-0.001871042	0.000851453
0.043787513	6.94023E-05	0.000442947	0.000851208
0.043853659	6.95023E-05	0.000940096	0.000851525
0.043919801	6.96022E-05	-0.003327497	0.000851292
0.043985947	6.97022E-05	-0.000571102	0.000850858
0.04405209	6.98022E-05	-0.002237659	0.000850244
0.044118236	6.99022E-05	-0.002370093	0.000851031
0.044184378	7.00022E-05	-0.00380102	0.000850639
0.044250524	7.01022E-05	-0.00343646	0.000850021
0.044316667	7.02022E-05	-0.002852071	0.000850169
0.044382813	7.03022E-05	-0.003001738	0.000850483
0.044448955	7.04022E-05	-0.004878203	0.000850175
0.044515101	7.05022E-05	-0.005784525	0.000849975
0.044581244	7.06023E-05	-0.004762839	0.000850742
0.044647389	7.07023E-05	-0.005119151	0.000849693
0.044713535	7.08023E-05	-0.006732692	0.000849429
0.044779678	7.09024E-05	-0.006704522	0.000849303
0.044845824	7.10024E-05	-0.003471588	0.000849937
0.044911966	7.11025E-05	-0.004076102	0.000850124
0.044978112	7.12026E-05	-0.005541458	0.000849545
0.045044255	7.13027E-05	-0.006044783	0.000848864
0.045110401	7.14027E-05	-0.004970705	0.000849326
0.045176543	7.15028E-05	-0.002482486	0.000849708
0.045242689	7.16029E-05	-0.006041408	0.000848969
0.045308832	7.1703E-05	-0.005710481	0.000849283
0.045374977	7.18031E-05	-0.003288497	0.000849654
0.04544112	7.19033E-05	-0.004347303	0.000849715
0.045507266	7.20034E-05	-0.006461361	0.000848874
0.045573408	7.21035E-05	-0.00456761	0.000848898
0.045639554	7.22036E-05	-0.000912227	0.000849524
0.045705697	7.23038E-05	-0.002817321	0.000849341
0.045771843	7.24039E-05	-0.000347188	0.000849149
0.045837985	7.25041E-05	-0.002613845	0.000849635
0.045904131	7.26043E-05	0.000508039	0.000849602
0.045970274	7.27044E-05	0.00044117	0.000849539
0.04603642	7.28046E-05	-0.00100093	0.000848885
0.046102562	7.29048E-05	-0.002333009	0.000849394
0.046168708	7.3005E-05	0.002118203	0.000849556
0.046234851	7.31051E-05	0.001222023	0.00084972
0.046300996	7.32053E-05	-0.0007259	0.000849346
0.046367142	7.33055E-05	0.002332991	0.00085006
0.046433285	7.34057E-05	0.005410021	0.000850233
0.046499431	7.3506E-05	0.003676143	0.000849762
0.046565573	7.36062E-05	0.001778251	0.000849136
0.046631719	7.37064E-05	0.004081733	0.000849439
0.046697862	7.38066E-05	0.003564366	0.00085016
0.046764008	7.39069E-05	0.002756862	0.000849402
0.04683015	7.40071E-05	0.002501801	0.00084871
0.046896296	7.41074E-05	0.002418775	0.000849034
0.046962439	7.42076E-05	0.002927214	0.000849612
0.047028584	7.43079E-05	0.002463369	0.000849327
0.047094727	7.44082E-05	0.000784242	0.000849257
0.047160873	7.45084E-05	0.000710982	0.000849037
0.047227015	7.46087E-05	0.005945731	0.00084923
0.047293161	7.4709E-05	0.000825929	0.000848693
0.047359304	7.48093E-05	0.001639849	0.000848905
0.04742545	7.49096E-05	0.000621047	0.000848399
0.047491592	7.50099E-05	-9.41504E-05	0.000849035
0.047557738	7.51102E-05	0.000307485	0.000848607
0.047623881	7.52105E-05	-0.001203067	0.000848644
0.047690027	7.53108E-05	-0.001144582	0.000847642
0.047756169	7.54111E-05	0.001421586	0.000848298
0.047822315	7.55115E-05	-0.001514763	0.000848048
0.047888458	7.56118E-05	-0.003691989	0.000847302
0.047954603	7.57121E-05	-0.003115	0.0008482
0.048020749	7.58125E-05	-0.00109345	0.000848143
0.048086892	7.59128E-05	-0.004320577	0.000847666
0.048153038	7.60132E-05	-0.004385014	0.000847655
0.04821918	7.61135E-05	-0.003782334	0.000847468
0.048285326	7.62139E-05	-0.001855436	0.000847525
0.048351469	7.63143E-05	-0.003562996	0.000847323
0.048417615	7.64147E-05	-0.002314003	0.00084815
0.048483757	7.6515E-05	-0.001473689	0.000847432
0.048549903	7.66154E-05	0.000131713	0.000847491
0.048616046	7.67158E-05	-0.002661968	0.000846779
0.048682191	7.68162E-05	-0.001414522	0.00084766
0.048748334	7.69166E-05	-0.002435765	0.000847429
0.04881448	7.7017E-05	0.001953206	0.000847517
0.048880623	7.71174E-05	-0.000481738	0.000846989
0.048946768	7.72179E-05	0.000299895	0.000846632
0.049012911	7.73183E-05	0.00278651	0.000847126
0.049079057	7.74187E-05	0.002678023	0.000847573
0.049145199	7.75191E-05	0.00251917	0.000847357
0.049211345	7.76196E-05	0.00091548	0.00084724
0.049277488	7.772E-05	0.002348546	0.000847202
0.049343634	7.78205E-05	0.004081898	0.000847932
0.049409776	7.79209E-05	0.004425911	0.000847651
0.049475922	7.80214E-05	0.004842176	0.000847107
0.049542065	7.81219E-05	0.005838866	0.00084833
0.04960821	7.82223E-05	0.006162055	0.000847686
0.049674356	7.83228E-05	0.004432177	0.000847969
0.049740499	7.84233E-05	0.006045716	0.000848301
0.049806645	7.85238E-05	0.008356098	0.000847797
0.049872787	7.86242E-05	0.006120302	0.000847552
0.049938933	7.87247E-05	0.007306957	0.000847306
0.050005076	7.88252E-05	0.00676621	0.00084804
0.050071222	7.89257E-05	0.007837548	0.000847817
0.050137364	7.90262E-05	0.008582352	0.000848025
0.05020351	7.91268E-05	0.007200588	0.000847753
0.050269653	7.92273E-05	0.006503437	0.000847299
0.050335798	7.93278E-05	0.007511996	0.000847762
0.050401941	7.94283E-05	0.005558139	0.000847923
0.050468087	7.95289E-05	0.003193049	0.000847447
0.05053423	7.96294E-05	0.002900593	0.000846997
0.050600375	7.97299E-05	0.004862427	0.00084747
0.050666518	7.98305E-05	0.002358496	0.000847034
0.050732664	7.9931E-05	0.004014526	0.000847118
0.050798806	8.00316E-05	0.001717788	0.000846549
0.050864952	8.01321E-05	0.003605748	0.000846692
0.050931095	8.02327E-05	0.002639491	0.000846849
0.050997241	8.03333E-05	0.000829771	0.000845854
0.051063383	8.04338E-05	0.001105144	0.000846153
0.051129529	8.05344E-05	0.002310325	0.000846478
0.051195672	8.0635E-05	0.001755151	0.000846471
0.051261817	8.07356E-05	-0.001070192	0.000845353
0.051327963	8.08362E-05	-0.000315977	0.000845919
0.051394106	8.09368E-05	0.001006237	0.000846432
0.051460252	8.10374E-05	-0.000450857	0.000845476
0.051526394	8.1138E-05	-0.002342957	0.000845397
0.05159254	8.12386E-05	-0.0016771	0.00084517
0.051658683	8.13392E-05	-0.000125146	0.000844835
0.051724829	8.14398E-05	-0.000939935	0.00084548
0.051790971	8.15404E-05	-0.002166818	0.000845068
0.051857117	8.16411E-05	-0.001275716	0.000845383
0.05192326	8.17417E-05	-0.000528847	0.000845421
0.051989405	8.18423E-05	-0.000917128	0.000845252
0.052055548	8.1943E-05	-0.002537321	0.00084526
0.052121694	8.20436E-05	-0.001107844	0.000845431
0.052187837	8.21442E-05	0.002173137	0.000845234
0.052253982	8.22449E-05	4.43181E-05	0.000844989
0.052320125	8.23456E-05	-0.001508966	0.000844209
0.052386271	8.24462E-05	0.001121179	0.000844703
0.052452413	8.25469E-05	0.002968715	0.000845029
0.052518559	8.26475E-05	0.002692874	0.000844731
0.052584702	8.27482E-05	0.003458703	0.000845025
0.052650848	8.28489E-05	0.002739346	0.00084518
0.05271699	8.29496E-05	0.005960985	0.000845565
0.052783136	8.30503E-05	0.004009401	0.000844822
0.052849279	8.31509E-05	0.003284379	0.00084466
0.052915425	8.32516E-05	0.003952483	0.00084454
0.052981571	8.48892E-05	0.005246582	0.000844754
0.053047715	8.48939E-05	0.004144879	0.00084516
0.053113848	8.49051E-05	0.004111267	0.000844755
0.053179982	8.49227E-05	0.00491753	0.000845077
0.053246109	8.49468E-05	0.005313486	0.00084487
0.053312231	8.49773E-05	0.004099509	0.000844816
0.053378341	8.50143E-05	0.003642885	0.000844531
0.053444452	8.50579E-05	0.005511133	0.000843833
0.053510557	8.5108E-05	0.004312942	0.000844515
0.053576657	8.51646E-05	0.004518708	0.000844486
0.053642745	8.52277E-05	0.002267246	0.000843948
0.053708833	8.52974E-05	0.004363875	0.000844482
0.053774915	8.53737E-05	0.007324797	0.00084472
0.053840992	8.54565E-05	0.001340442	0.000843921
0.053907058	8.55459E-05	0.001954776	0.000843729
0.053973123	8.56419E-05	0.003085174	0.000843621
0.054039183	8.57445E-05	0.000262645	0.0008432
0.054105238	8.58536E-05	0.001640591	0.00084261
0.05417128	8.59693E-05	-0.000400095	0.000842631
0.054237323	8.60916E-05	-0.000603532	0.000842765
0.054303361	8.62205E-05	0.000722097	0.000843003
0.054369393	8.63559E-05	-0.000895286	0.00084301
0.054435413	8.64979E-05	-0.001544517	0.000842381
0.054501434	8.66464E-05	-0.001139162	0.000842009
0.054567449	8.68015E-05	0.001433952	0.000842534
0.054633458	8.6963E-05	-0.004185937	0.000842014
0.054699462	8.71311E-05	-0.003916518	0.0008421
0.054765454	8.73057E-05	-0.002024266	0.000841906
0.054831446	8.74868E-05	-0.002326921	0.000842316
0.054897433	8.76743E-05	-0.003012605	0.000841662
0.054963414	8.78683E-05	-0.003548435	0.000841804
0.055029383	8.80687E-05	-0.003337183	0.000841192
0.055095353	8.82755E-05	-0.002167074	0.000841737
0.055161318	8.84887E-05	-0.002617108	0.000841559
0.055227276	8.87083E-05	-0.003424507	0.000841407
0.055293223	8.89342E-05	-0.000941382	0.000841457
0.05535917	8.91664E-05	-0.000862512	0.000841616
0.055425112	8.94049E-05	-0.0044768	0.000840944
0.055491048	8.96497E-05	-0.003199246	0.000840943
0.055556972	8.99006E-05	-0.000148621	0.000841357
0.055622897	9.01578E-05	-0.000961676	0.000840891
0.055688816	9.04212E-05	-0.000684727	0.000841499
0.05575473	9.06907E-05	0.000278279	0.00084076
0.055820632	9.09663E-05	0.000610192	0.000841543
0.055886534	9.1248E-05	0.001126423	0.00084094
0.055952431	9.15358E-05	0.000269444	0.000841029
0.056018322	9.18295E-05	0.000166393	0.000840992
0.056084201	9.21292E-05	0.000889424	0.00084136
0.056150081	9.24349E-05	0.002547873	0.00084159
0.056215955	9.27465E-05	0.00035437	0.00084071
0.056281823	9.30639E-05	0.003744039	0.000841015
0.056347686	9.33872E-05	0.004237922	0.000841326
0.056413537	9.37162E-05	0.001821477	0.000841116
0.056479389	9.40511E-05	0.002069899	0.000840637
0.056545235	9.43916E-05	0.001990283	0.000840478
0.056611075	9.47378E-05	0.002827663	0.000840719
0.056676903	9.50896E-05	0.001731151	0.000840543
0.056742732	9.54471E-05	0.000772652	0.000841015
0.056808556	9.58101E-05	0.000750279	0.00084045
0.056874374	9.61786E-05	0.002040034	0.000840235
0.056940179	9.65525E-05	0.001847386	0.000840203
0.057005986	9.6932E-05	-0.000764104	0.00083971
0.057071787	9.73168E-05	0.000242269	0.000839784
0.057137582	9.77069E-05	0.001378957	0.000840037
0.057203365	9.81023E-05	-0.002381348	0.000839671
0.057269149	9.85031E-05	-0.001998182	0.000839576
0.057334928	9.8909E-05	-0.002828969	0.000839598
0.0574007	9.93201E-05	-0.001376292	0.000839745
0.057466461	9.97363E-05	-0.003495699	0.000839356
0.057532223	0.000100158	-0.003294893	0.000839433
0.057597978	0.000100584	-0.004380879	0.000838787
0.057663729	0.000101016	-0.002466462	0.000838784
0.057729467	0.000101452	-0.003697996	0.000838495
0.057795206	0.000101893	-0.007447768	0.000838561
0.057860939	0.000102339	-0.006301665	0.000838432
0.057926667	0.00010279	-0.003469105	0.000839024
0.057992389	0.000103246	-0.006956049	0.000838238
0.058058099	0.000103707	-0.005419016	0.000838061
0.058123809	0.000104172	-0.005318891	0.000837475
0.058189514	0.000104642	-0.005500946	0.000838115
0.058255214	0.000105116	-0.006274325	0.000838414
0.058320901	0.000105596	-0.0061465	0.000837966
0.05838659	0.000106079	-0.005264293	0.000837751
0.058452272	0.000106568	-0.004081336	0.000837964
0.058517949	0.00010706	-0.005500699	0.00083749
0.058583614	0.000107557	-0.006336147	0.000836999
0.05864928	0.000108059	-0.003617589	0.00083766
0.05871494	0.000108564	-0.001941055	0.000837865
0.058780594	0.000109075	-0.005836933	0.000837347
0.058846237	0.000109589	-0.003279268	0.000838273
0.05891188	0.000110107	-0.002223053	0.000837998
0.058977517	0.00011063	-0.000854383	0.000838197
0.059043149	0.000111157	-0.002116339	0.000837302
0.059108769	0.000111688	-0.002360597	0.000837775
0.059174389	0.000112223	-0.001458912	0.000837653
0.059240004	0.000112762	-0.001348419	0.000837894
0.059305614	0.000113305	-0.001267369	0.000837684
0.059371211	0.000113852	-0.001431624	0.000837635
0.059436809	0.000114403	0.000639794	0.000837794
0.059502401	0.000114958	0.000655338	0.000837418
0.059567988	0.000115517	-0.003408615	0.000837471
0.059633569	0.000116079	0.000144962	0.000837491
0.059699138	0.000116645	-0.001050835	0.000837229
0.059764708	0.000117215	0.000173219	0.000837629
0.059830273	0.000117789	9.98633E-05	0.000837572
0.059895831	0.000118366	0.001044937	0.000837058
0.059961378	0.000118947	0.001678831	0.000837584
0.060026925	0.000119531	0.001105387	0.000837803
0.060092467	0.000120119	-0.000172698	0.000837751
0.060158003	0.000120711	-0.001098312	0.000836843
0.060223527	0.000121306	0.000179599	0.000837207
0.060289052	0.000121905	-0.000997993	0.000836882
0.060354571	0.000122507	-0.001652464	0.000837154
0.060420084	0.000123112	-0.002628463	0.000836596
0.060485586	0.000123721	-0.000826892	0.000836509
0.060551088	0.000124333	-0.002438844	0.00083616
0.060616585	0.000124948	-0.003747235	0.000836393
0.060682076	0.000125567	-0.002239114	0.000836081
0.060747555	0.000126188	-0.002801561	0.000836501
