Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.040886334	6.31999E-05	-0.000863253	0.000956892
0.040951545	6.32951E-05	-0.002661253	0.000956593
0.041016752	6.33904E-05	-0.002999365	0.00095705
0.041081963	6.34856E-05	-0.00472674	0.000956822
0.041147171	6.35809E-05	-0.004091507	0.000956499
0.041212382	6.36761E-05	-0.001740985	0.000956105
0.04127759	6.37714E-05	-0.00330431	0.000955931
0.041342801	6.38667E-05	-0.004146741	0.000955924
0.041408009	6.3962E-05	-0.002905736	0.000956169
0.04147322	6.40573E-05	-0.00563713	0.000955881
0.041538428	6.41526E-05	-0.005140895	0.000956164
0.041603639	6.42479E-05	-0.004207542	0.000956839
0.041668846	6.43433E-05	-0.003072425	0.000956055
0.041734057	6.44386E-05	-0.003251336	0.000955641
0.041799265	6.45339E-05	-0.004342142	0.000955895
0.041864476	6.46293E-05	-0.002978289	0.000955979
0.041929684	6.47246E-05	-0.001894348	0.000955546
0.041994895	6.482E-05	-0.002678627	0.000956173
0.042060103	6.49154E-05	-0.000682679	0.000955817
0.042125314	6.50108E-05	0.000459912	0.000955958
0.042190522	6.51061E-05	0.001108767	0.000955937
0.042255733	6.52015E-05	0.001296935	0.000955787
0.04232094	6.52969E-05	0.001296935	0.000955787
0.042386151	6.53923E-05	0.003156414	0.000955918
0.042451362	6.54878E-05	0.00174492	0.000954933
0.04251657	6.55832E-05	0.002370707	0.000955116
0.042581781	6.56786E-05	0.002754504	0.000956363
0.042646989	6.57741E-05	0.004199089	0.000955273
0.0427122	6.58695E-05	0.00201612	0.00095658
0.042777408	6.5965E-05	0.003960141	0.000955712
0.042842619	6.60604E-05	0.004532876	0.000955442
0.042907827	6.61559E-05	0.003924718	0.000954311
0.042973038	6.62514E-05	0.004535765	0.000955502
0.043038245	6.63469E-05	0.003561033	0.000955533
0.043103456	6.64424E-05	0.004261742	0.000955223
0.043168664	6.65379E-05	0.003447092	0.000955873
0.043233875	6.66334E-05	0.002136722	0.000955675
0.043299083	6.67289E-05	0.002524422	0.000954931
0.043364294	6.68244E-05	0.003164852	0.000954731
0.043429502	6.69199E-05	0.003714709	0.000955348
0.043494713	6.70155E-05	0.001850888	0.000954414
0.043559921	6.7111E-05	0.002709534	0.000954722
0.043625132	6.72066E-05	0.000205134	0.000954612
0.043690339	6.73021E-05	0.000593348	0.00095387
0.04375555	6.73977E-05	0.000715898	0.00095371
0.043820758	6.74932E-05	-0.000750311	0.000954262
0.043885969	6.75888E-05	-0.001430336	0.000953508
0.043951177	6.76844E-05	-0.001135477	0.000952841
0.044016388	6.778E-05	-0.004590115	0.000952889
0.044081599	6.78756E-05	-0.002815137	0.000952089
0.044146807	6.79712E-05	-0.002853081	0.000952733
0.044212018	6.80668E-05	-0.003868359	0.000952375
0.044277226	6.81624E-05	-0.004824485	0.000951849
0.044342437	6.82581E-05	-0.004843075	0.000951374
0.044407644	6.83537E-05	-0.003154467	0.000951684
0.044472855	6.84493E-05	-0.005758456	0.000951859
0.044538063	6.8545E-05	-0.003990808	0.000951737
0.044603274	6.86406E-05	-0.00519598	0.000951411
0.044668482	6.87363E-05	-0.005138147	0.000951242
0.044733693	6.88319E-05	-0.002134117	0.00095216
0.044798901	6.89276E-05	-0.005201807	0.000952089
0.044864112	6.90233E-05	-0.003764854	0.000950944
0.04492932	6.9119E-05	-0.005258473	0.00095146
0.044994531	6.92147E-05	-0.002948073	0.000951213
0.045059738	6.93104E-05	-0.003436093	0.000950316
0.045124949	6.94061E-05	-0.003279791	0.000950987
0.045190157	6.95018E-05	-0.000102004	0.000951342
0.045255368	6.95975E-05	-0.003279406	0.000951783
0.045320576	6.96932E-05	-0.003296687	0.000950572
0.045385787	6.97889E-05	-0.002020567	0.000951027
0.045450995	6.98847E-05	-0.001321376	0.000950777
0.045516206	6.99804E-05	-0.000648257	0.000950671
0.045581414	7.00761E-05	-0.000609305	0.000950824
0.045646625	7.01719E-05	-0.000650845	0.000951349
0.045711836	7.02677E-05	0.002019513	0.00095107
0.045777043	7.03634E-05	0.00228844	0.000951287
0.045842254	7.04592E-05	0.002659988	0.00095093
0.045907462	7.0555E-05	0.001358779	0.000951472
0.045972673	7.06508E-05	0.002847077	0.000950782
0.046037881	7.07465E-05	0.003510228	0.00095044
0.046103092	7.08423E-05	0.00262602	0.000950896
0.0461683	7.09381E-05	0.003566801	0.000950272
0.046233511	7.10339E-05	0.003292025	0.000950613
0.046298719	7.11298E-05	0.0034959	0.000950144
0.04636393	7.12256E-05	0.002193342	0.000949949
0.046429137	7.13214E-05	0.001819422	0.000950246
0.046494348	7.14172E-05	0.003557912	0.000949419
0.046559556	7.15131E-05	0.002436552	0.000950309
0.046624767	7.16089E-05	0.001186397	0.000949828
0.046689975	7.17048E-05	0.001042812	0.000949512
0.046755186	7.18006E-05	0.000870997	0.000949281
0.046820394	7.18965E-05	0.000922491	0.000948996
0.046885605	7.19923E-05	-0.000609174	0.000949354
0.046950813	7.20882E-05	0.000561402	0.000948854
0.047016024	7.21841E-05	-0.002238849	0.000948144
0.047081231	7.228E-05	-0.002523906	0.000948249
0.047146442	7.23758E-05	-0.002085707	0.000947962
0.04721165	7.24717E-05	-0.003953621	0.000947861
0.047276861	7.25676E-05	-0.002849802	0.000948142
0.047342072	7.26635E-05	-0.00303702	0.000947499
0.04740728	7.27594E-05	-0.004359951	0.000947333
0.047472491	7.28554E-05	-0.005537051	0.00094675
0.047537699	7.29513E-05	-0.004135177	0.000947337
0.04760291	7.30472E-05	-0.006727528	0.000946604
0.047668118	7.31431E-05	-0.006776495	0.000947006
0.047733329	7.32391E-05	-0.006503251	0.000946608
0.047798536	7.3335E-05	-0.00740209	0.000946534
0.047863747	7.3431E-05	-0.005021692	0.000946039
0.047928955	7.35269E-05	-0.006128093	0.000945948
0.047994166	7.36229E-05	-0.004792167	0.000945192
0.048059374	7.37188E-05	-0.005574058	0.000946053
0.048124585	7.38148E-05	-0.006700795	0.000945435
0.048189793	7.39108E-05	-0.005977839	0.000945708
