Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.041403496	6.3927E-05	-0.00061104	0.000858797
0.041469532	6.40238E-05	0.000337072	0.000858156
0.041535564	6.41207E-05	-0.000435373	0.000857574
0.0416016	6.42175E-05	-0.002109791	0.00085711
0.041667633	6.43144E-05	-0.003293069	0.000857526
0.041733669	6.44113E-05	-0.001740703	0.000857411
0.041799701	6.45082E-05	-0.000712761	0.000857156
0.041865737	6.4605E-05	-0.002644907	0.000856703
0.04193177	6.47019E-05	-0.002067362	0.000857356
0.041997805	6.47988E-05	-0.002787814	0.000857184
0.042063838	6.48958E-05	-0.00169522	0.00085694
0.042129874	6.49927E-05	-0.003986523	0.000856348
0.042195907	6.50896E-05	-0.005637608	0.000856314
0.042261942	6.51865E-05	-0.001942214	0.000856447
0.042327975	6.52835E-05	-0.003439915	0.000856252
0.042394011	6.53804E-05	-0.004377362	0.000856283
0.042460043	6.54774E-05	-0.005871947	0.00085609
0.042526079	6.55743E-05	-0.001277899	0.000856054
0.042592112	6.56713E-05	-0.003830882	0.000856188
0.042658148	6.57683E-05	-0.004774324	0.000855184
0.04272418	6.58653E-05	-0.004663747	0.000855547
0.042790216	6.59623E-05	-0.003425006	0.000855804
0.042856249	6.60593E-05	-0.004638284	0.000855365
0.042922285	6.61563E-05	-0.005688511	0.000855802
0.04298832	6.62533E-05	-0.003321938	0.000855132
0.043054353	6.63503E-05	-0.003353421	0.000855154
0.043120389	6.64473E-05	-0.006149207	0.000855567
0.043186421	6.65443E-05	-0.003624532	0.000855665
0.043252457	6.66414E-05	-0.005030287	0.000855248
0.04331849	6.67384E-05	-0.003055274	0.000854515
0.043384526	6.68355E-05	-0.003575987	0.000855249
0.043450558	6.69325E-05	-0.003174893	0.00085476
0.043516594	6.70296E-05	-0.003672612	0.00085526
0.043582627	6.71267E-05	-0.001700077	0.000855242
0.043648663	6.72238E-05	-0.002360256	0.000854921
0.043714695	6.73209E-05	-0.003829452	0.000854546
0.043780731	6.74179E-05	-0.000544304	0.00085501
0.043846764	6.7515E-05	-0.001735969	0.000855157
0.043912799	6.76122E-05	-0.001126299	0.000854253
0.043978832	6.77093E-05	-0.003353169	0.000854334
0.044044868	6.78064E-05	-3.45251E-05	0.000854065
0.044110901	6.79035E-05	-0.001254785	0.000855051
0.044176936	6.80006E-05	-0.000906332	0.000854871
0.044242969	6.80978E-05	-0.000906125	0.000854105
0.044309005	6.81949E-05	0.000181726	0.000854576
0.044375037	6.82921E-05	-0.00021634	0.000854351
0.044441073	6.83892E-05	-0.001155567	0.000854328
0.044507106	6.84864E-05	-0.00066581	0.000854435
0.044573142	6.85836E-05	0.000335678	0.000853651
0.044639177	6.86808E-05	-0.000825324	0.000853723
0.04470521	6.87779E-05	-0.002826977	0.000852944
0.044771246	6.88751E-05	-0.003053258	0.000852933
0.044837279	6.89723E-05	-0.003421975	0.000853399
0.044903314	6.90695E-05	-0.00149158	0.000853244
0.044969347	6.91667E-05	-0.002455955	0.000853348
0.045035383	6.92639E-05	-0.003113966	0.000853029
0.045101415	6.93612E-05	-0.001099072	0.000853361
0.045167451	6.94584E-05	-0.003126545	0.000852711
0.045233484	6.95556E-05	-0.004712503	0.000852529
0.04529952	6.96529E-05	-0.002037646	0.000852522
0.045365552	6.97501E-05	-0.00339258	0.000853325
0.045431588	6.98474E-05	-0.001902378	0.000851887
0.045497621	6.99446E-05	-0.004468622	0.000853016
0.045563657	7.00419E-05	-0.003369241	0.000852276
0.045629689	7.01391E-05	-0.005352573	0.000852634
0.045695725	7.02364E-05	-0.002216145	0.000852098
0.045761758	7.03337E-05	-0.00507383	0.000852338
0.045827793	7.0431E-05	-0.005387679	0.000851682
0.045893826	7.05283E-05	-0.003812232	0.000851652
0.045959862	7.06256E-05	-0.004061273	0.000851873
0.046025895	7.07229E-05	-0.005779703	0.000851513
0.04609193	7.08202E-05	-0.004732739	0.000851133
0.046157963	7.09175E-05	-0.003310432	0.000851314
0.046223999	7.10148E-05	-0.003379316	0.000851198
0.046290035	7.11121E-05	-0.004068381	0.000850849
0.046356067	7.12095E-05	-0.00516209	0.000850827
0.046422103	7.13068E-05	-0.003857212	0.000850491
0.046488136	7.14042E-05	-0.003889293	0.000851324
0.046554171	7.15015E-05	-0.003797211	0.000851208
0.046620204	7.15989E-05	-0.004691482	0.000851376
0.04668624	7.16962E-05	-0.001764246	0.000850547
0.046752273	7.17936E-05	-0.001940263	0.00085175
0.046818308	7.18909E-05	-0.001733751	0.000851285
0.046884341	7.19883E-05	-0.00217923	0.000851422
0.046950377	7.20857E-05	-0.001483005	0.000851117
0.047016409	7.21831E-05	-0.000173949	0.000850835
0.047082445	7.22805E-05	-0.001742491	0.000851074
0.047148478	7.23779E-05	-0.000829593	0.00085057
0.047214514	7.24753E-05	-0.00055879	0.000850876
0.047280546	7.25727E-05	-0.000834051	0.000850464
0.047346582	7.26701E-05	-0.001480239	0.00085041
0.047412615	7.27675E-05	-0.002493374	0.000850819
0.047478651	7.28649E-05	0.000661049	0.000850764
0.047544683	7.29624E-05	-0.000594637	0.000850792
0.047610719	7.30598E-05	-0.001732896	0.000850526
0.047676752	7.31572E-05	-0.001607653	0.000850442
0.047742787	7.32547E-05	0.000550832	0.000850458
0.04780882	7.33521E-05	-0.001493355	0.000850094
0.047874856	7.34496E-05	0.000165883	0.000850499
0.047940892	7.35471E-05	0.000680711	0.000850479
0.048006924	7.36445E-05	-0.001028573	0.000850432
0.04807296	7.3742E-05	0.000995997	0.000850322
0.048138993	7.38395E-05	0.000145308	0.000850025
0.048205029	7.39369E-05	-0.000894316	0.000849801
0.048271061	7.40344E-05	0.001438402	0.00085084
0.048337097	7.41319E-05	-0.000755812	0.000850033
0.04840313	7.42294E-05	-0.00242768	0.000849262
0.048469165	7.43269E-05	-0.001933225	0.000849524
0.048535198	7.44244E-05	0.000414884	0.000849357
0.048601234	7.45219E-05	-0.001417166	0.000849502
0.048667267	7.46194E-05	-0.000354878	0.000848953
0.048733302	7.4717E-05	-0.000610571	0.000849827
