Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.040789342	6.38864E-05	-0.005227393	0.000854734
0.040854399	6.39809E-05	-0.003744536	0.000853431
0.040919452	6.40754E-05	-0.003381614	0.000853674
0.040984508	6.41699E-05	-0.001758145	0.000853837
0.041049561	6.42645E-05	-0.005651836	0.000853405
0.041114617	6.4359E-05	-0.001820169	0.000852911
0.041179671	6.44535E-05	-0.002976916	0.000854213
0.041244727	6.45481E-05	-0.000650507	0.000854021
0.04130978	6.46427E-05	-0.0008545	0.000852757
0.041374836	6.47372E-05	-0.003457656	0.000853295
0.041439889	6.48318E-05	0.000546661	0.000853015
0.041504946	6.49264E-05	-2.35327E-05	0.000853391
0.041569999	6.5021E-05	-0.001626139	0.000853911
0.041635055	6.51156E-05	-0.000546623	0.000853252
0.041700108	6.52103E-05	0.001243338	0.000853471
0.041765164	6.53049E-05	0.00215148	0.000853465
0.041830218	6.53995E-05	0.00257302	0.000853456
0.041895274	6.54942E-05	0.002907446	0.000852858
0.041960327	6.55889E-05	0.00180096	0.000853642
0.042025383	6.56836E-05	0.003169012	0.000853765
0.042090436	6.57782E-05	0.002669952	0.000853446
0.042155493	6.58729E-05	0.001388604	0.000852998
0.042220546	6.59676E-05	0.004992584	0.00085386
0.042285602	6.60624E-05	0.003342982	0.000853218
0.042350658	6.61571E-05	0.002660114	0.000853183
0.042415712	6.62518E-05	0.003508562	0.000852463
0.042480768	6.63466E-05	0.004513433	0.000853257
0.042545821	6.64413E-05	0.003146585	0.000852324
0.042610877	6.65361E-05	0.00160952	0.000851938
0.04267593	6.66309E-05	0.001244985	0.000852608
0.042740987	6.67257E-05	0.002535945	0.000851597
0.04280604	6.68205E-05	0.00204054	0.000851332
0.042871096	6.69153E-05	-0.000550261	0.000851216
0.042936149	6.70101E-05	-0.000212842	0.000851636
0.043001206	6.71049E-05	0.001452716	0.000851183
0.043066259	6.71998E-05	-0.000583656	0.000851184
0.043131315	6.72946E-05	-0.002020368	0.000850687
0.043196368	6.73895E-05	-0.00133224	0.000850021
0.043261424	6.74843E-05	-0.001641246	0.000850437
0.043326478	6.75792E-05	-0.003798445	0.000850525
0.043391534	6.76741E-05	-0.003954888	0.000850681
0.043456587	6.7769E-05	-0.003857879	0.000849605
0.043521643	6.78639E-05	-0.003995777	0.000850388
0.043586696	6.79588E-05	-0.005720341	0.000849716
0.043651753	6.80537E-05	-0.006975662	0.00084964
0.043716806	6.81486E-05	-0.005308443	0.000849497
0.043781862	6.82436E-05	-0.005624177	0.000849705
0.043846915	6.83385E-05	-0.006069256	0.000849892
0.043911971	6.84335E-05	-0.005826404	0.000849361
0.043977028	6.85284E-05	-0.006870996	0.000848723
0.044042081	6.86234E-05	-0.004635166	0.000849426
0.044107137	6.87184E-05	-0.005175427	0.000848508
0.04417219	6.88134E-05	-0.00779539	0.000848962
0.044237247	6.89084E-05	-0.006165883	0.000848683
0.0443023	6.90034E-05	-0.003423882	0.000849054
0.044367356	6.90984E-05	-0.005394666	0.000848705
0.044432409	6.91934E-05	-0.004538906	0.000848302
0.044497465	6.92884E-05	-0.00523261	0.000848758
0.044562519	6.93835E-05	-0.001283704	0.000848551
0.044627575	6.94785E-05	-0.00272534	0.000848754
0.044692628	6.95736E-05	-0.004659029	0.000848593
0.044757684	6.96687E-05	-0.001449789	0.000848394
0.044822737	6.97637E-05	-0.00134509	0.000848644
0.044887794	6.98588E-05	-0.000564476	0.000847919
0.044952847	6.99539E-05	-0.002148052	0.000848693
0.045017903	7.0049E-05	-0.001082607	0.000848791
0.045082956	7.01441E-05	0.002272982	0.000848879
0.045148013	7.02392E-05	9.91135E-06	0.000848712
0.045213066	7.03344E-05	0.001840461	0.000848523
0.045278122	7.04295E-05	0.002857509	0.000848122
0.045343175	7.05246E-05	0.002046721	0.000848867
0.045408231	7.06198E-05	0.001729782	0.000849022
0.045473285	7.07149E-05	0.002253627	0.000848358
0.045538341	7.08101E-05	0.002159182	0.00084842
0.045603397	7.09053E-05	0.004739648	0.000848383
0.04566845	7.10005E-05	0.001697466	0.000848137
0.045733506	7.10957E-05	0.002336505	0.000847984
0.04579856	7.11909E-05	0.003209676	0.000848051
0.045863616	7.12861E-05	0.002843693	0.000847759
0.045928669	7.13813E-05	4.42286E-05	0.000847839
0.045993725	7.14765E-05	-0.000426486	0.000847245
0.046058778	7.15717E-05	-1.76317E-05	0.000846977
0.046123835	7.1667E-05	0.00082323	0.000848019
0.046188888	7.17622E-05	-0.000658856	0.000847026
0.046253944	7.18575E-05	-0.001639784	0.000846504
0.046318997	7.19527E-05	-0.000725096	0.000846011
0.046384054	7.2048E-05	-0.000379385	0.000846737
0.046449107	7.21433E-05	-0.003333931	0.000846716
0.046514163	7.22386E-05	-0.001232952	0.000846185
0.046579216	7.23338E-05	-0.005134866	0.000846525
0.046644272	7.24291E-05	-0.002531161	0.000845715
0.046709326	7.25245E-05	-0.004281626	0.000845018
0.046774382	7.26198E-05	-0.005550973	0.000845376
0.046839435	7.27151E-05	-0.004905295	0.000845584
0.046904491	7.28104E-05	-0.004523781	0.000845492
0.046969544	7.29058E-05	-0.007902773	0.000845921
0.047034601	7.30011E-05	-0.00658544	0.000844951
0.047099654	7.30964E-05	-0.005205461	0.00084515
0.04716471	7.31918E-05	-0.006069165	0.000845138
0.047229766	7.32872E-05	-0.008740854	0.000844268
0.04729482	7.33825E-05	-0.006597652	0.000844487
0.047359876	7.34779E-05	-0.005898955	0.000844344
0.047424929	7.35733E-05	-0.006189679	0.00084422
