Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.040044924	6.25572E-05	0.00147813	0.000860867
0.040108793	6.26497E-05	-0.000465441	0.00086165
0.040172658	6.27422E-05	0.001009287	0.000860626
0.040236527	6.28346E-05	-0.001950961	0.000860591
0.040300393	6.29271E-05	0.000702662	0.000861575
0.040364262	6.30196E-05	0.002796516	0.000861142
0.040428128	6.31121E-05	0.000176295	0.000860865
0.040491997	6.32047E-05	0.000101869	0.000860691
0.040555863	6.32972E-05	0.001263025	0.000860507
0.040619732	6.33897E-05	-7.52723E-05	0.000860418
0.040683598	6.34823E-05	-0.000189077	0.000860723
0.040747467	6.35748E-05	0.001008021	0.000860006
0.040811333	6.36674E-05	-6.41946E-05	0.000860016
0.040875202	6.376E-05	-0.000594501	0.0008592
0.040939068	6.38526E-05	-0.000676931	0.000860102
0.041002937	6.39452E-05	-0.002100427	0.000859569
0.041066803	6.40378E-05	-0.002176884	0.000859341
0.041130672	6.41304E-05	-0.002355478	0.000859015
0.041194538	6.4223E-05	-0.002799465	0.00085921
0.041258407	6.43157E-05	-0.004093058	0.000858592
0.041322272	6.44083E-05	-0.002616988	0.000858971
0.041386141	6.4501E-05	-0.003664854	0.000858744
0.041450007	6.45937E-05	-0.004497513	0.000858257
0.041513876	6.46864E-05	-0.00514221	0.000858984
0.041577745	6.4779E-05	-0.004307123	0.000858181
0.041641611	6.48717E-05	-0.002708236	0.000857801
0.04170548	6.49645E-05	-0.003279332	0.000858028
0.041769346	6.50572E-05	-0.005974842	0.000857771
0.041833215	6.51499E-05	-0.004388034	0.000857845
0.041897081	6.52426E-05	-0.005698359	0.000857468
0.04196095	6.53354E-05	-0.00432812	0.000857077
0.042024816	6.54282E-05	-0.005733622	0.000856712
0.042088685	6.55209E-05	-0.005372185	0.000856851
0.042152551	6.56137E-05	-0.004679763	0.000857153
0.04221642	6.57065E-05	-0.00739387	0.000857081
0.042280286	6.57993E-05	-0.007648817	0.000856423
0.042344155	6.58921E-05	-0.006398542	0.000856281
0.04240802	6.59849E-05	-0.005663544	0.00085683
0.042471889	6.60777E-05	-0.006951241	0.000856886
0.042535755	6.61706E-05	-0.007098254	0.000856487
0.042599624	6.62634E-05	-0.00367991	0.000856461
0.04266349	6.63563E-05	-0.003398885	0.000856267
0.042727359	6.64491E-05	-0.004297011	0.000856386
0.042791225	6.6542E-05	-0.003427476	0.000856343
0.042855094	6.66349E-05	-0.001162919	0.000857012
0.04291896	6.67277E-05	-0.001622579	0.000856882
0.042982829	6.68206E-05	-0.002773285	0.000856504
0.043046695	6.69135E-05	-0.003358771	0.000857077
0.043110564	6.70065E-05	-0.001761414	0.000856699
0.043174433	6.70994E-05	-0.001179733	0.000856688
0.043238299	6.71923E-05	-0.00149993	0.000856127
0.043302168	6.72853E-05	-0.001648235	0.000857012
0.043366034	6.73782E-05	0.002162021	0.000856228
0.043429903	6.74712E-05	0.001263168	0.00085696
0.043493768	6.75641E-05	-0.000598117	0.000856063
0.043557637	6.76571E-05	-0.002630776	0.000856127
0.043621503	6.77501E-05	0.001223058	0.000855645
0.043685372	6.78431E-05	-9.03295E-05	0.00085588
0.043749238	6.79361E-05	-0.000583962	0.000855718
0.043813107	6.80291E-05	0.001044962	0.000855935
0.043876973	6.81221E-05	-0.000189283	0.000856451
0.043940842	6.82151E-05	0.000142447	0.000855999
0.044004708	6.83082E-05	-0.001572952	0.000855341
0.044068577	6.84012E-05	0.000763095	0.000855515
0.044132443	6.84943E-05	0.000683234	0.000855235
0.044196312	6.85873E-05	-0.002290282	0.000855836
0.044260178	6.86804E-05	-0.001425432	0.000855072
0.044324047	6.87735E-05	-0.002435725	0.000854878
0.044387913	6.88665E-05	-0.001065687	0.000855158
0.044451782	6.89596E-05	-0.002407351	0.000854803
0.044515648	6.90527E-05	-0.002417063	0.000853976
0.044579516	6.91459E-05	-0.002985698	0.000854202
0.044643382	6.9239E-05	-0.003848023	0.000854352
0.044707251	6.93321E-05	-0.004712625	0.000853784
0.04477112	6.94252E-05	-0.00554442	0.000853196
0.044834986	6.95184E-05	-0.00585322	0.000853464
0.044898855	6.96115E-05	-0.005314553	0.000853978
0.044962721	6.97047E-05	-0.005752208	0.00085356
0.04502659	6.97978E-05	-0.007873645	0.000853532
0.045090456	6.9891E-05	-0.007085551	0.000853209
0.045154325	6.99842E-05	-0.005869297	0.000853807
0.045218191	7.00774E-05	-0.006150775	0.000853282
0.04528206	7.01706E-05	-0.007693808	0.000852525
0.045345926	7.02638E-05	-0.005262445	0.00085372
0.045409795	7.0357E-05	-0.00496091	0.000852628
0.045473661	7.04502E-05	-0.007032965	0.000852952
0.04553753	7.05434E-05	-0.00658264	0.000852972
0.045601396	7.06366E-05	-0.005344323	0.000852671
0.045665265	7.07299E-05	-0.003975961	0.000853055
0.04572913	7.08231E-05	-0.003963252	0.000852659
0.045792999	7.09164E-05	-0.004040858	0.000853044
0.045856865	7.10096E-05	-0.002879708	0.000852466
0.045920734	7.11029E-05	-0.003690758	0.000852969
0.0459846	7.11962E-05	-0.004074561	0.000853012
0.046048469	7.12895E-05	-0.003447254	0.000852691
0.046112335	7.13828E-05	-0.000211857	0.000852403
0.046176204	7.14761E-05	-0.002501349	0.000852317
0.04624007	7.15694E-05	-0.001904459	0.00085329
0.046303939	7.16627E-05	-0.001974927	0.000853173
0.046367808	7.1756E-05	-0.00030785	0.000852414
0.046431674	7.18493E-05	0.000330531	0.000852308
0.046495543	7.19427E-05	0.000353725	0.000852735
0.046559409	7.2036E-05	-0.000183621	0.000852329
0.046623278	7.21294E-05	-0.000296491	0.000852628
0.046687144	7.22227E-05	0.001630329	0.000853079
0.046751013	7.23161E-05	0.000398496	0.000852372
0.046814878	7.24094E-05	0.000658541	0.000852415
0.046878747	7.25028E-05	0.003631813	0.000852928
0.046942613	7.25962E-05	0.002169495	0.000852209
0.047006482	7.26896E-05	0.001098777	0.000852334
0.047070348	7.2783E-05	0.00275173	0.000852587
0.047134217	7.28764E-05	0.002230627	0.0008525
0.047198083	7.29698E-05	0.001688618	0.000852151
0.047261952	7.30632E-05	0.001334634	0.000852006
0.047325818	7.31567E-05	-0.001003049	0.000852117
0.047389687	7.32501E-05	0.001517849	0.00085249
0.047453553	7.33435E-05	0.001724121	0.00085246
0.047517422	7.3437E-05	-0.000870057	0.000852247
0.047581288	7.35304E-05	-0.000479913	0.000851425
0.047645157	7.36239E-05	0.001631937	0.000851581
0.047709023	7.37174E-05	-0.000372371	0.000851573
0.047772892	7.38108E-05	-0.001364954	0.000851646
0.047836758	7.39043E-05	-0.001423837	0.000851853
0.047900626	7.39978E-05	-0.002112346	0.000851221
0.047964495	7.40913E-05	-0.001616191	0.000851432
0.048028361	7.41848E-05	-0.004558725	0.000851359
0.04809223	7.42783E-05	-0.001878503	0.000851281
0.048156096	7.43718E-05	-0.002230425	0.000851633
0.048219965	7.44653E-05	-0.002041703	0.000851449
0.048283831	7.45588E-05	-0.004593381	0.000850447
0.0483477	7.46524E-05	-0.004113804	0.000851108
0.048411566	7.47459E-05	-0.001917951	0.000851253
0.048475435	7.48394E-05	-0.00214893	0.000851301
0.048539301	7.4933E-05	-0.004408333	0.00085065
0.04860317	7.50266E-05	-0.00332565	0.000850677
0.048667036	7.51201E-05	-0.002146712	0.000850418
0.048730905	7.52137E-05	-0.001605694	0.000850873
0.048794771	7.53073E-05	-0.003426954	0.000850746
0.04885864	7.54008E-05	-0.002042177	0.000850952
0.048922506	7.54944E-05	7.73645E-05	0.000851043
0.048986374	7.5588E-05	-0.00059984	0.000850845
0.04905024	7.56816E-05	-0.001259317	0.000850801
0.049114109	7.57752E-05	-0.000903765	0.000851054
0.049177975	7.58688E-05	0.001123974	0.000851044
0.049241844	7.59625E-05	0.001539043	0.000851091
0.04930571	7.60561E-05	-0.000454218	0.000850525
0.049369579	7.61497E-05	0.002633395	0.000851337
0.049433445	7.62433E-05	0.00265874	0.000851319
0.049497314	7.6337E-05	0.002655634	0.000850823
0.049561183	7.64306E-05	0.003056548	0.000851213
0.049625049	7.65243E-05	0.003367435	0.000850834
0.049688918	7.66179E-05	0.002437846	0.000851693
0.049752784	7.67116E-05	0.003045452	0.000851664
0.049816653	7.68053E-05	0.002474561	0.000851224
0.049880519	7.6899E-05	0.004337078	0.000851555
0.049944388	7.69926E-05	0.005036483	0.000851909
0.050008254	7.70863E-05	0.004076239	0.000851124
0.050072123	7.718E-05	0.00334576	0.000850959
0.050135988	7.72737E-05	0.005252849	0.000851427
0.050199857	7.73674E-05	0.005331792	0.000851096
0.050263723	7.74611E-05	0.003960308	0.00085076
0.050327592	7.75549E-05	0.004409374	0.000851395
0.050391458	7.76486E-05	0.006041157	0.000850999
0.050455327	7.77423E-05	0.005186903	0.000851029
0.050519194	7.92248E-05	0.005560454	0.000851328
0.050583071	7.92288E-05	0.000713433	0.000850717
0.05064695	7.92386E-05	0.002406504	0.000850718
0.050710839	7.92542E-05	0.003273448	0.00085112
0.05077473	7.92757E-05	0.001701972	0.000850924
0.050838631	7.9303E-05	0.000483775	0.000850378
0.050902534	7.93362E-05	0.001360416	0.000850329
0.050966447	7.93753E-05	0.003147115	0.000850431
0.051030362	7.94203E-05	0.000668585	0.000850086
0.051094287	7.94712E-05	-0.001164997	0.00085002
0.051158217	7.95281E-05	-0.000593112	0.000850179
0.051222154	7.95909E-05	-0.000720875	0.000849771
0.05128609	7.96596E-05	0.000164163	0.000850046
0.051350038	7.97342E-05	0.0008611	0.000849623
0.051413993	7.98149E-05	-0.000147291	0.000849543
0.051477953	7.99015E-05	0.001725388	0.000850024
0.051541913	7.9994E-05	-0.001970947	0.000848814
0.051605885	8.00925E-05	-0.001447143	0.000849608
0.051669863	8.0197E-05	-0.000532713	0.000849587
0.051733848	8.03074E-05	0.000336147	0.000849322
0.051797832	8.04238E-05	-0.002316211	0.000849379
0.051861828	8.05461E-05	-0.000292697	0.000849863
0.05192583	8.06744E-05	-0.001495399	0.000849257
0.051989838	8.08086E-05	-0.001450037	0.0008495
0.052053846	8.09487E-05	-0.0025663	0.000849167
0.052117866	8.10948E-05	-0.003015726	0.0008492
0.052181892	8.12468E-05	-0.001321494	0.000849028
0.052245924	8.14047E-05	0.001799383	0.000849091
0.052309956	8.15684E-05	0.000483179	0.000849497
0.052373999	8.1738E-05	-0.000437845	0.000849302
0.052438049	8.19135E-05	0.00260612	0.000849697
0.052502105	8.20949E-05	0.001243557	0.000849472
0.052566161	8.2282E-05	0.000141837	0.00084929
0.052630229	8.24749E-05	0.002040357	0.000849367
0.052694302	8.26737E-05	0.003353192	0.000849241
0.052758382	8.28782E-05	0.00420477	0.000849211
0.052822468	8.30884E-05	0.003281103	0.000849015
0.052886553	8.33044E-05	0.00327383	0.000849185
0.052950651	8.35261E-05	0.005216615	0.000849679
0.053014754	8.37534E-05	0.007055623	0.000849363
0.053078864	8.39864E-05	0.003132982	0.000849612
0.053142973	8.4225E-05	0.003551581	0.000848995
0.053207095	8.44692E-05	0.005970158	0.000849054
0.053271222	8.4719E-05	0.006551865	0.000849044
0.053335356	8.49743E-05	0.002001429	0.000848953
0.053399489	8.52351E-05	0.004597915	0.000848997
0.053463635	8.55014E-05	0.005456701	0.000848797
0.053527786	8.57731E-05	0.003695743	0.000848676
0.053591943	8.60503E-05	0.002686856	0.00084821
0.0536561	8.63329E-05	0.003966001	0.000848272
0.05372027	8.66208E-05	0.002776853	0.000848203
0.053784445	8.6914E-05	0.002938883	0.000848423
0.053848626	8.72126E-05	0.001579637	0.000847428
0.053912807	8.75164E-05	0.002028517	0.00084778
0.053977	8.78254E-05	0.003443401	0.000847693
0.0540412	8.81396E-05	0.003155073	0.00084833
0.054105405	8.8459E-05	-0.001268464	0.000847238
0.05416961	8.87834E-05	-0.00080128	0.000847849
0.054233827	8.9113E-05	0.000716826	0.000847414
