Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.041043284	6.36597E-05	-0.002839681	0.000856565
0.041108746	6.3756E-05	-0.000919467	0.000856751
0.041174204	6.38523E-05	-0.001520594	0.000856332
0.041239665	6.39487E-05	-0.002220969	0.000856641
0.041305123	6.4045E-05	-0.00037657	0.000856549
0.041370584	6.41414E-05	-0.000836167	0.000856419
0.041436043	6.42377E-05	-0.001347027	0.000855831
0.041501504	6.43341E-05	-0.003024741	0.0008568
0.041566962	6.44305E-05	-0.002150291	0.000855989
0.041632423	6.45268E-05	-0.002143791	0.000856149
0.041697882	6.46232E-05	-0.002291512	0.000855701
0.041763343	6.47196E-05	-0.003558921	0.000856393
0.041828801	6.4816E-05	-0.003163729	0.000855742
0.041894262	6.49124E-05	-0.001425554	0.0008555
0.04195972	6.50088E-05	-0.004197133	0.000855783
0.042025182	6.51053E-05	-0.004621855	0.000854813
0.04209064	6.52017E-05	-0.00231522	0.000855114
0.042156101	6.52982E-05	-0.002731051	0.000855231
0.042221559	6.53946E-05	-0.004657284	0.000854728
0.042287021	6.54911E-05	-0.004482521	0.000854228
0.042352479	6.55875E-05	-0.00521244	0.000854557
0.04241794	6.5684E-05	-0.003409142	0.000854431
0.042483398	6.57805E-05	-0.003459399	0.000853974
0.042548859	6.58769E-05	-0.005283321	0.000854387
0.042614321	6.59734E-05	-0.004866161	0.000854323
0.042679779	6.60699E-05	-0.002530616	0.000853784
0.04274524	6.61664E-05	-0.002750696	0.000853932
0.042810698	6.62629E-05	-0.004057188	0.000854377
0.04287616	6.63595E-05	-0.003709047	0.000854197
0.042941618	6.6456E-05	-0.005572206	0.000853547
0.043007079	6.65525E-05	-0.003193095	0.000854176
0.043072537	6.66491E-05	-0.003738383	0.000854271
0.043137999	6.67456E-05	-0.002511278	0.000854262
0.043203457	6.68422E-05	-0.002937228	0.000854113
0.043268918	6.69387E-05	-0.003052681	0.000853645
0.043334376	6.70353E-05	-0.002920625	0.00085372
0.043399837	6.71319E-05	-0.002142567	0.000853795
0.043465296	6.72284E-05	-0.003842449	0.000853251
0.043530757	6.7325E-05	-0.003805442	0.000854207
0.043596215	6.74216E-05	-0.001372796	0.000853659
0.043661676	6.75182E-05	1.68635E-05	0.000853652
0.043727134	6.76148E-05	-0.000805018	0.000853331
0.043792596	6.77114E-05	-0.002601942	0.000853614
0.043858054	6.78081E-05	-0.002622708	0.000853901
0.043923515	6.79047E-05	-0.00036301	0.000853088
0.043988973	6.80013E-05	-0.001404255	0.00085368
0.044054435	6.8098E-05	1.68635E-05	0.000853652
0.044119893	6.81946E-05	0.000579856	0.000853218
0.044185354	6.82913E-05	0.000948834	0.000853516
0.044250815	6.83879E-05	-0.001159786	0.000854116
0.044316274	6.84846E-05	7.7313E-05	0.000853556
0.044381735	6.85813E-05	-0.000672532	0.000853406
0.044447193	6.86779E-05	-0.000526525	0.000853799
0.044512654	6.87746E-05	0.000370595	0.000852868
0.044578112	6.88713E-05	-7.5817E-05	0.000853004
0.044643574	6.8968E-05	-0.002671843	0.000852681
0.044709032	6.90647E-05	0.001644413	0.000853158
0.044774493	6.91614E-05	-0.003048697	0.000852934
0.044839951	6.92581E-05	-0.000827515	0.000852801
0.044905413	6.93549E-05	-0.001275927	0.000852885
0.044970871	6.94516E-05	0.000464753	0.000852804
0.045036332	6.95483E-05	0.000732217	0.000853007
0.04510179	6.96451E-05	0.000556471	0.000852688
0.045167251	6.97418E-05	-0.000587734	0.000852367
0.04523271	6.98386E-05	0.000562226	0.000852085
0.045298171	6.99353E-05	-0.00141259	0.000852704
0.045363629	7.00321E-05	-0.00349249	0.000852309
0.04542909	7.01289E-05	-0.00025568	0.00085258
0.045494548	7.02256E-05	-0.001295947	0.000852408
0.04556001	7.03224E-05	-0.000491254	0.000852357
0.045625468	7.04192E-05	-0.000885767	0.000852187
0.045690929	7.0516E-05	-0.001273389	0.000852175
0.045756387	7.06128E-05	-0.000565363	0.000852134
0.045821849	7.07096E-05	-0.002622381	0.000851506
0.04588731	7.08064E-05	-0.002538308	0.000851993
0.045952768	7.09032E-05	-0.001770304	0.000851857
0.046018229	7.1E-05	-0.000670724	0.000851933
0.046083688	7.10969E-05	-0.000861184	0.000852007
0.046149149	7.11937E-05	-0.001324732	0.00085172
0.046214607	7.12905E-05	0.000432112	0.000852063
0.046280068	7.13874E-05	-0.000567671	0.000852082
0.046345526	7.14842E-05	-0.003134588	0.000852394
0.046410988	7.15811E-05	-0.002501253	0.000851316
