Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.041852763	6.53438E-05	-0.003258687	0.000955433
0.041919515	6.54433E-05	0.00044476	0.000955397
0.041986264	6.55428E-05	-0.00019895	0.000955596
0.042053017	6.56423E-05	-0.001698093	0.000955489
0.042119766	6.57419E-05	-0.001058742	0.000955172
0.042186518	6.58414E-05	-0.002461301	0.000954991
0.042253267	6.59409E-05	-0.002303003	0.000954868
0.04232002	6.60404E-05	-0.002518925	0.000955219
0.042386769	6.614E-05	-0.001828257	0.000954497
0.042453521	6.62395E-05	-0.002265606	0.000955021
0.04252027	6.63391E-05	-0.000908578	0.000954811
0.042587023	6.64387E-05	-0.00102357	0.000954293
0.042653772	6.65382E-05	-0.001420937	0.000955029
0.042720524	6.66378E-05	-0.000250347	0.000954115
0.042787273	6.67374E-05	0.001704895	0.000953379
0.042854026	6.6837E-05	-0.002244548	0.000953669
0.042920775	6.69366E-05	-0.001585023	0.000954003
0.042987527	6.70362E-05	-0.003146864	0.000954859
0.043054276	6.71358E-05	-0.002285776	0.000953399
0.043121029	6.72354E-05	-0.001124804	0.00095322
0.043187778	6.73351E-05	-0.003305135	0.000953952
0.04325453	6.74347E-05	-0.001569124	0.000953506
0.043321279	6.75343E-05	-0.001478252	0.000953314
0.043388032	6.7634E-05	-0.004576986	0.000952588
0.043454784	6.77336E-05	-0.004683874	0.000953335
0.043521533	6.78333E-05	-0.003321835	0.000953421
0.043588286	6.79329E-05	-0.002745378	0.000953213
0.043655035	6.80326E-05	-0.004743604	0.000953503
0.043721787	6.81323E-05	-0.004398142	0.000952086
0.043788536	6.8232E-05	-0.002167126	0.000953064
0.043855289	6.83317E-05	-0.003750465	0.000952124
0.043922038	6.84314E-05	-0.005457644	0.00095231
0.04398879	6.85311E-05	-0.003709268	0.000951369
0.044055539	6.86308E-05	-0.002916962	0.000951896
0.044122292	6.87305E-05	-0.002679027	0.000952254
0.044189041	6.88302E-05	-0.003865199	0.00095155
0.044255793	6.89299E-05	-0.004454623	0.000951287
0.044322542	6.90297E-05	-0.002653096	0.000952053
0.044389295	6.91294E-05	-0.004077068	0.000952017
0.044456044	6.92291E-05	-0.003521913	0.000951162
0.044522796	6.93289E-05	-0.003885829	0.000951928
0.044589545	6.94287E-05	-0.001387455	0.000952153
0.044656298	6.95284E-05	-0.002211331	0.000951708
0.044723047	6.96282E-05	-0.003660852	0.000950849
0.044789799	6.9728E-05	-0.002274442	0.000951758
0.044856548	6.98277E-05	-0.001533345	0.000951663
0.044923301	6.99275E-05	-0.002826386	0.000950681
0.04499005	7.00273E-05	-0.002470277	0.000950705
0.045056802	7.01271E-05	-0.001592365	0.000950864
0.045123555	7.02269E-05	0.000460145	0.000951259
0.045190304	7.03267E-05	-0.000130006	0.000951053
0.045257056	7.04266E-05	-0.003740795	0.000951393
0.045323805	7.05264E-05	-0.001235855	0.000950888
0.045390558	7.06262E-05	-0.000438137	0.000950569
0.045457307	7.0726E-05	-0.002297431	0.000951052
0.045524059	7.08259E-05	-0.002298443	0.000950029
0.045590808	7.09257E-05	-0.001089901	0.000951378
0.045657561	7.10256E-05	-0.000511275	0.000950325
0.04572431	7.11254E-05	0.000139067	0.000950422
0.045791062	7.12253E-05	-0.002227797	0.000950215
0.045857811	7.13252E-05	-0.000245027	0.00095054
0.045924564	7.1425E-05	0.002198149	0.000950934
0.045991313	7.15249E-05	-0.000196377	0.00095008
0.046058065	7.16248E-05	-0.001501672	0.00094971
0.046124814	7.17247E-05	0.000334584	0.000949547
0.046191567	7.18246E-05	0.001213562	0.000949707
0.046258316	7.19245E-05	-0.002220193	0.00095045
0.046325068	7.20244E-05	-0.002268062	0.000948985
0.046391817	7.21243E-05	-0.000403556	0.000949699
0.04645857	7.22242E-05	-2.65904E-05	0.000950309
0.046525319	7.23241E-05	-0.002426295	0.000950069
0.046592071	7.24241E-05	-0.003178778	0.000949753
0.04665882	7.2524E-05	-0.001137953	0.000949007
0.046725573	7.26239E-05	-0.001830123	0.000949545
0.046792325	7.27239E-05	-0.002366234	0.000948941
0.046859074	7.28238E-05	-0.002838199	0.000949308
0.046925827	7.29238E-05	-0.002343351	0.000949644
0.046992576	7.30237E-05	-0.00016617	0.000949094
0.047059328	7.31237E-05	-0.001715877	0.000949096
0.047126077	7.32237E-05	-0.003125216	0.000948392
0.04719283	7.33236E-05	-0.002071573	0.000949072
0.047259579	7.34236E-05	-0.00175314	0.000948945
0.047326331	7.35236E-05	-0.003391693	0.000949138
0.04739308	7.36236E-05	-0.002346164	0.000948566
0.047459833	7.37236E-05	-0.001601831	0.000948647
0.047526582	7.38236E-05	0.000611345	0.00094825
0.047593334	7.39236E-05	-0.002068992	0.000948171
0.047660083	7.40236E-05	-0.002899539	0.000948396
0.047726836	7.41236E-05	-0.000532425	0.000948777
0.047793585	7.42236E-05	-5.67997E-05	0.000948528
0.047860337	7.43237E-05	-0.001487788	0.000948199
0.047927086	7.44237E-05	-0.002721745	0.000948917
0.047993839	7.45237E-05	-0.000818052	0.000947979
0.048060588	7.46238E-05	0.000992544	0.000948074
0.04812734	7.47238E-05	-0.003117858	0.000948626
0.048194089	7.48238E-05	-0.001839334	0.000948292
0.048260842	7.49239E-05	3.74815E-05	0.000948455
0.048327591	7.5024E-05	0.000531746	0.000948732
0.048394343	7.5124E-05	-0.000176382	0.000948801
0.048461096	7.52241E-05	0.000251265	0.000948109
0.048527845	7.53242E-05	0.000734935	0.000948094
0.048594597	7.54242E-05	0.002460242	0.000948439
0.048661346	7.55243E-05	-0.000385365	0.000948363
0.048728099	7.56244E-05	-8.75523E-05	0.000947652
0.048794848	7.57245E-05	0.0022359	0.000948492
0.0488616	7.58246E-05	0.001109712	0.000947743
0.048928349	7.59247E-05	0.001545756	0.000948186
0.048995102	7.60248E-05	0.001438237	0.000947549
0.049061851	7.61249E-05	0.001679138	0.000947182
0.049128603	7.6225E-05	0.003427463	0.000947088
0.049195352	7.63251E-05	0.001735556	0.000947498
0.049262105	7.64252E-05	0.00043344	0.000947968
0.049328854	7.65254E-05	0.002660696	0.000947802
0.049395606	7.66255E-05	0.002313715	0.000948011
0.049462355	7.67256E-05	0.002444648	0.000947249
0.049529108	7.68258E-05	0.002026279	0.000947873
0.049595857	7.69259E-05	0.004631313	0.000946937
0.049662609	7.70261E-05	0.003328927	0.000947405
0.049729358	7.71262E-05	0.001545865	0.000946925
0.049796111	7.72264E-05	0.002643244	0.000947515
0.04986286	7.73265E-05	0.001689387	0.000946994
0.049929612	7.74267E-05	0.003108265	0.000947395
0.049996361	7.75269E-05	0.001477563	0.000946679
0.050063114	7.76271E-05	0.001537307	0.000947232
0.050129866	7.77272E-05	0.00325234	0.000946684
0.050196615	7.78274E-05	0.000866768	0.000946493
0.050263367	7.79276E-05	0.000139033	0.000947237
0.050330117	7.80278E-05	0.001303636	0.000946275
0.050396869	7.8128E-05	0.000603448	0.000947116
0.050463618	7.82282E-05	-0.00017128	0.000946221
0.05053037	7.83284E-05	-0.000656496	0.000946716
0.05059712	7.84286E-05	0.001615856	0.000946392
0.050663872	7.85288E-05	0.002228888	0.000946696
0.050730621	7.8629E-05	0.001877006	0.000946549
0.050797374	7.87293E-05	5.00648E-05	0.000946348
0.050864123	7.88295E-05	0.00097239	0.000946651
0.050930875	7.89297E-05	0.003112475	0.000946852
0.050997624	7.903E-05	0.001177244	0.000946492
0.051064377	7.91302E-05	0.000414678	0.000946544
0.051131126	7.92304E-05	0.001301951	0.000946156
0.051197878	7.93307E-05	0.003382197	0.000946703
0.051264627	7.94309E-05	0.001832594	0.000946165
0.05133138	7.95312E-05	0.001245719	0.000945841
0.051398129	7.96314E-05	0.002230059	0.000945917
0.051464881	7.97317E-05	0.003463095	0.000946101
0.05153163	7.9832E-05	0.003711069	0.000946209
